shipment_id,log_date,vehicle_id,driver_id,partner_contract,origin_city,destination_city,load_type,package_count,shipment_value_usd,planned_departure_datetime,actual_departure_datetime,planned_arrival_datetime,actual_arrival_datetime,miles_driven,fuel_consumed_gallons,delivery_status,on_time_status,notes
MAV20250427-001,2025-04-27,VAN-82,D1127,Hertz-Local,Boston_MA,NewOrleans_LA,LTL,21,2162.54,2025-04-27T12:00:00,2025-04-27T11:33:00,2025-04-27T15:01:09.537404,2025-04-27T16:45:09.537404,30.7,3.7,Delivered,Late,Customer requested reschedule
MAV20250505-001,2025-05-05,TRK-302,D1139,Budget-Airport,KansasCity_MO,Houston_TX,FTL,386,25713.97,2025-05-05T13:15:00,2025-05-05T13:23:00,2025-05-06T00:41:37.081375,2025-05-06T00:07:37.081375,409.9,70.2,Delayed,Pending,Delay reason under investigation
MAV20250502-001,2025-05-02,TRK-145,D1122,Hertz-Local,SanFrancisco_CA,Nashville_TN,FTL,1394,97158.04,2025-05-02T11:00:00,2025-05-02T10:35:00,2025-05-02T17:14:22.522887,2025-05-02T17:48:22.522887,617.9,96.0,Delivered,Late,Driver took mandatory rest
MAV20250420-001,2025-04-20,VAN-32,D1001,Budget-Airport,Orlando_FL,Detroit_MI,LTL,43,5597.5,2025-04-20T11:15:00,2025-04-20T10:49:00,2025-04-20T12:22:33.351167,,61.1,9.0,In-Transit,Pending,
MAV20250429-001,2025-04-29,VAN-14,D1016,FedEx-Ground,Dallas_TX,Miami_FL,LTL,36,6580.05,2025-04-29T15:15:00,2025-04-29T15:06:00,2025-04-29T16:15:12.478381,,137.7,21.3,Cancelled,N/A,
MAV20250508-001,2025-05-08,BOX-23,D1127,Enterprise-Corp,Philadelphia_PA,Indianapolis_IN,FTL,1428,120331.78,2025-05-08T12:00:00,2025-05-08T11:49:00,2025-05-08T19:22:55.267102,,40.8,6.0,In-Transit,Pending,
MAV20250426-001,2025-04-26,TRK-185,D1106,FedEx-Ground,Houston_TX,Orlando_FL,FTL,1136,105777.28,2025-04-26T17:30:00,2025-04-26T17:11:00,2025-04-27T02:56:26.912398,,12.4,2.4,Scheduled,Pending,Weather delay reported
MAV20250405-001,2025-04-05,TRK-257,D1005,Amazon-Prime,Miami_FL,Phoenix_AZ,FTL,5,901.84,2025-04-05T07:15:00,2025-04-05T07:33:00,2025-04-05T16:47:38.653849,,284.5,49.5,Cancelled,N/A,Weather delay reported
MAV20250424-001,2025-04-24,VAN-91,D1156,Enterprise-Corp,Denver_CO,Seattle_WA,LTL,50,7189.88,2025-04-24T08:45:00,2025-04-24T08:38:00,2025-04-24T09:52:22.066294,2025-04-24T11:10:22.066294,139.8,17.5,Delivered,Late,
MAV20250501-001,2025-05-01,BOX-44,D1156,Hertz-Local,Indianapolis_IN,Detroit_MI,FTL,831,153134.13,2025-05-01T18:15:00,2025-05-01T18:16:00,2025-05-02T03:08:32.217448,,652.6,115.9,Scheduled,Pending,
MAV20250405-002,2025-04-05,VAN-36,D1197,Amazon-Prime,Atlanta_GA,LasVegas_NV,LTL,10,1246.08,2025-04-05T15:00:00,2025-04-05T14:52:00,2025-04-05T18:52:27.162105,2025-04-05T19:02:27.162105,67.9,13.2,Delayed,Pending,Delay reason under investigation
MAV20250420-002,2025-04-20,VAN-32,D1034,Ryder-Logistics,LasVegas_NV,LosAngeles_CA,LTL,34,2640.57,2025-04-20T08:00:00,2025-04-20T07:43:00,2025-04-20T09:30:06.942684,2025-04-20T09:25:06.942684,45.4,8.7,Delivered,On-Time,
MAV20250420-003,2025-04-20,VAN-96,D1191,DHL-Express,Newark_NJ,LosAngeles_CA,LTL,23,4083.76,2025-04-20T09:45:00,2025-04-20T09:50:00,2025-04-20T11:15:32.120863,2025-04-20T11:20:32.120863,121.3,15.3,Delivered,On-Time,Minor loading delay
MAV20250501-002,2025-05-01,VAN-95,D1060,Ryder-Logistics,Atlanta_GA,Indianapolis_IN,LTL,35,2703.39,2025-05-01T06:45:00,2025-05-01T06:31:00,2025-05-01T07:50:51.257350,,107.0,12.7,Scheduled,Pending,
MAV20250402-001,2025-04-02,TRK-257,D1088,DHL-Express,Houston_TX,Nashville_TN,FTL,795,67785.32,2025-04-02T16:45:00,2025-04-02T16:34:00,2025-04-03T14:11:30.077440,2025-04-03T13:51:30.077440,310.0,60.4,Delayed,Pending,Delay reason under investigation
MAV20250417-001,2025-04-17,BOX-44,D1068,FedEx-Ground,Atlanta_GA,Orlando_FL,FTL,701,73398.6,2025-04-17T07:00:00,2025-04-17T06:32:00,2025-04-17T15:09:23.070095,,139.1,27.2,Scheduled,Pending,
MAV20250417-002,2025-04-17,TRK-374,D1068,Budget-Airport,Philadelphia_PA,Nashville_TN,FTL,57,4556.55,2025-04-17T08:00:00,2025-04-17T07:34:00,2025-04-18T01:55:32.048585,2025-04-18T01:32:32.048585,660.9,86.6,Delayed,Pending,Delay reason under investigation
MAV20250428-001,2025-04-28,TRK-185,D1060,Hertz-Local,Atlanta_GA,NewOrleans_LA,FTL,321,62777.88,2025-04-28T15:15:00,2025-04-28T15:34:00,2025-04-28T20:12:02.771789,2025-04-28T21:04:02.771789,143.1,25.7,Delivered,Late,Customer requested reschedule
MAV20250501-003,2025-05-01,TRK-120,D1012,Amazon-Prime,Nashville_TN,Atlanta_GA,FTL,967,138260.97,2025-05-01T13:00:00,2025-05-01T12:30:00,2025-05-02T11:01:58.914952,2025-05-02T12:13:58.914952,437.6,70.1,Delayed,Pending,Delay reason under investigation
MAV20250410-001,2025-04-10,VAN-36,D1031,Ryder-Logistics,Columbus_OH,KansasCity_MO,LTL,31,5237.37,2025-04-10T10:15:00,2025-04-10T10:03:00,2025-04-10T11:55:49.200036,2025-04-10T11:01:49.200036,86.8,11.0,Delayed,Pending,Weather delay reported
MAV20250418-001,2025-04-18,BOX-44,D1076,DHL-Express,Orlando_FL,Columbus_OH,FTL,348,47401.22,2025-04-18T12:30:00,2025-04-18T12:31:00,2025-04-18T22:13:55.820530,,434.1,54.3,Cancelled,N/A,
MAV20250505-002,2025-05-05,TRK-229,D1012,Amazon-Prime,Nashville_TN,Philadelphia_PA,FTL,518,48147.12,2025-05-05T15:30:00,2025-05-05T15:34:00,2025-05-05T19:39:19.094376,,258.5,32.6,Scheduled,Pending,
MAV20250508-002,2025-05-08,BOX-44,D1005,Amazon-Prime,Dallas_TX,Minneapolis_MN,FTL,171,10573.72,2025-05-08T11:30:00,2025-05-08T11:54:00,2025-05-08T16:20:33.404723,,308.7,47.1,Cancelled,N/A,Driver took mandatory rest
MAV20250508-003,2025-05-08,TRK-302,D1186,Budget-Airport,Boston_MA,Phoenix_AZ,FTL,33,3376.14,2025-05-08T17:45:00,2025-05-08T17:21:00,2025-05-09T09:27:02.971035,,197.9,37.5,Scheduled,Pending,
MAV20250406-001,2025-04-06,TRK-316,D1005,Enterprise-Corp,LasVegas_NV,SanFrancisco_CA,FTL,862,161045.64,2025-04-06T17:30:00,2025-04-06T17:36:00,2025-04-07T00:49:39.009630,,715.5,139.0,Cancelled,N/A,
MAV20250412-001,2025-04-12,TRK-374,D1197,DHL-Express,KansasCity_MO,Detroit_MI,FTL,270,49538.76,2025-04-12T13:15:00,2025-04-12T13:31:00,2025-04-12T18:28:28.779535,,767.0,102.7,Scheduled,Pending,Minor loading delay
MAV20250510-001,2025-05-10,VAN-36,D1141,FedEx-Ground,LosAngeles_CA,KansasCity_MO,LTL,41,2753.15,2025-05-10T17:45:00,2025-05-10T18:11:00,2025-05-10T19:14:43.131879,,146.1,20.6,In-Transit,Pending,
MAV20250503-001,2025-05-03,TRK-127,D1197,Budget-Airport,Minneapolis_MN,Houston_TX,FTL,439,28114.07,2025-05-03T08:30:00,2025-05-03T08:06:00,2025-05-03T13:51:12.075184,2025-05-03T13:26:12.075184,197.1,29.8,Delayed,Pending,Delay reason under investigation
MAV20250422-001,2025-04-22,VAN-36,D1186,Amazon-Prime,Detroit_MI,Dallas_TX,LTL,25,3422.11,2025-04-22T08:15:00,2025-04-22T07:48:00,2025-04-22T12:13:55.862730,2025-04-22T12:17:55.862730,15.2,2.1,Delivered,On-Time,Traffic on I-95
MAV20250422-002,2025-04-22,TRK-244,D1068,Ryder-Logistics,Chicago_IL,Philadelphia_PA,FTL,132,18056.01,2025-04-22T08:45:00,2025-04-22T09:15:00,2025-04-22T17:56:45.237346,2025-04-22T22:28:45.237346,527.5,100.6,Delivered,Late,
MAV20250430-001,2025-04-30,VAN-32,D1016,Ryder-Logistics,Charlotte_NC,Columbus_OH,LTL,33,5190.57,2025-04-30T12:00:00,2025-04-30T11:30:00,2025-04-30T15:25:31.935408,,61.7,7.5,In-Transit,Pending,
MAV20250510-002,2025-05-10,BOX-35,D1016,Amazon-Prime,Baltimore_MD,LosAngeles_CA,FTL,100,16284.79,2025-05-10T17:15:00,2025-05-10T16:51:00,2025-05-11T06:29:53.943274,,436.0,53.1,Scheduled,Pending,
MAV20250509-001,2025-05-09,TRK-185,D1141,Amazon-Prime,Orlando_FL,Miami_FL,FTL,1398,184660.02,2025-05-09T13:45:00,2025-05-09T13:38:00,2025-05-10T10:23:40.569122,2025-05-10T09:51:40.569122,387.3,72.5,Delivered,On-Time,
MAV20250410-002,2025-04-10,VAN-36,D1139,Ryder-Logistics,Baltimore_MD,Indianapolis_IN,LTL,17,1975.23,2025-04-10T13:30:00,2025-04-10T13:46:00,2025-04-10T15:57:31.065456,,84.6,11.2,Scheduled,Pending,
MAV20250505-003,2025-05-05,TRK-229,D1155,FedEx-Ground,KansasCity_MO,Denver_CO,FTL,137,8187.95,2025-05-05T06:30:00,2025-05-05T06:38:00,2025-05-05T13:45:39.975178,,258.2,36.6,In-Transit,Pending,
